,restaurant_id,restaurant_name,length,ave_rating,popularity,topic_id,topic_words
0,0,茱莉金牛排餐酒館,634,4.5,967,4,"['""服務"" ', '""牛排"" ', '""餐點"" ', '""用餐"" ', '""餐廳"" ', '""環境"" ', '""麵包"" ', '""主餐"" ', '""沙拉"" ', '""美味""']"
1,1,Okaeri お帰り 你回來啦拉麵,840,4.3,2769,6,"['""拉麵"" ', '""湯頭"" ', '""柑橘"" ', '""叉燒"" ', '""味道"" ', '""豚骨"" ', '""喜歡"" ', '""麵條"" ', '""排隊"" ', '""蛤蜊""']"
2,2,和牛涮 日式鍋物放題 台北忠孝東店,840,4.8,21588,3,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""東西"" ', '""客人"" ', '""肉質""']"
3,3,狗一下居食酒屋 忠孝店,840,4.8,18200,20,"['""服務"" ', '""新鮮"" ', '""海鮮"" ', '""用餐"" ', '""海膽"" ', '""餐點"" ', '""東西"" ', '""食物"" ', '""時間"" ', '""生魚片""']"
4,4,蘇阿姨比薩屋,840,4.1,8271,24,"['""炸雞"" ', '""披薩"" ', '""牛肉麵"" ', '""湯圓"" ', '""味道"" ', '""牛肉"" ', '""紅燒"" ', '""湯頭"" ', '""價格"" ', '""牛奶""']"
5,5,Intention,840,4.9,11238,7,"['""服務"" ', '""味道"" ', '""餐點"" ', '""義大利麵"" ', '""調酒"" ', '""喜歡"" ', '""推薦"" ', '""用餐"" ', '""餐廳"" ', '""食物""']"
6,6,Solo Pasta 義大利麵,840,4.6,11274,7,"['""服務"" ', '""味道"" ', '""餐點"" ', '""義大利麵"" ', '""調酒"" ', '""喜歡"" ', '""推薦"" ', '""用餐"" ', '""餐廳"" ', '""食物""']"
7,7,享鴨 烤鴨與中華料理,840,4.7,10962,5,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""環境"" ', '""份量"" ', '""適合"" ', '""味道"" ', '""燉飯"" ', '""餐廳"" ', '""套餐""']"
8,8,師大夜市,840,4.0,17685,8,"['""雞湯"" ', '""服務"" ', '""夜市"" ', '""餐廳"" ', '""歌手"" ', '""適合"" ', '""地方"" ', '""味道"" ', '""推薦"" ', '""師大""']"
9,9,詹記麻辣火鍋 敦南店,840,4.4,5120,9,"['""鴨血"" ', '""服務"" ', '""豆腐"" ', '""麻辣鍋"" ', '""麻辣"" ', '""味道"" ', '""湯包"" ', '""湯頭"" ', '""用餐"" ', '""價格""']"
10,10,漢來海港 敦化店,840,4.2,10829,11,"['""服務"" ', '""用餐"" ', '""餐點"" ', '""漢堡排"" ', '""甜點"" ', '""新鮮"" ', '""海鮮"" ', '""味道"" ', '""餐廳"" ', '""感覺""']"
11,11,JAPOLI義大利餐酒館 新生店,730,4.4,1088,1,"['""餐點"" ', '""服務"" ', '""適合"" ', '""環境"" ', '""用餐"" ', '""食物"" ', '""餐廳"" ', '""味道"" ', '""喜歡"" ', '""咖啡""']"
12,12,泰街頭,840,3.8,1876,12,"['""蘿蔔絲"" ', '""蘿蔔絲餅"" ', '""味道"" ', '""排隊"" ', '""粉圓"" ', '""蔥油餅"" ', '""泰式"" ', '""糖水"" ', '""感覺"" ', '""價格""']"
13,13,惡犬食堂,641,3.9,992,20,"['""服務"" ', '""新鮮"" ', '""海鮮"" ', '""用餐"" ', '""海膽"" ', '""餐點"" ', '""東西"" ', '""食物"" ', '""時間"" ', '""生魚片""']"
14,14,沾美西餐廳,773,4.5,4120,4,"['""服務"" ', '""牛排"" ', '""餐點"" ', '""用餐"" ', '""餐廳"" ', '""環境"" ', '""麵包"" ', '""主餐"" ', '""沙拉"" ', '""美味""']"
15,15,叁和院 (參和院),840,4.2,2748,5,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""環境"" ', '""份量"" ', '""適合"" ', '""味道"" ', '""燉飯"" ', '""餐廳"" ', '""套餐""']"
16,16,八色韓式烤肉,840,4.0,3206,2,"['""服務"" ', '""小菜"" ', '""店員"" ', '""態度"" ', '""用餐"" ', '""套餐"" ', '""味道"" ', '""八色"" ', '""海鮮"" ', '""生菜""']"
17,17,問鼎麻辣養生鍋,840,4.8,9262,3,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""東西"" ', '""客人"" ', '""肉質""']"
18,18,OvenMaru 烤頂鷄,830,3.8,1287,0,"['""服務"" ', '""炸雞"" ', '""餐點"" ', '""店員"" ', '""味道"" ', '""態度"" ', '""用餐"" ', '""韓式"" ', '""東西"" ', '""適合""']"
19,19,TOASTERiA Cafe,840,4.3,4936,19,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""環境"" ', '""份量"" ', '""餐廳"" ', '""適合"" ', '""味道"" ', '""喜歡"" ', '""食物""']"
